period,value
28/02/2025,118.69
31/01/2025,118.29
31/12/2024,117.14
30/11/2024,116.8
31/10/2024,116.65
30/09/2024,116.27
31/08/2024,115.94
31/07/2024,115.94
30/06/2024,115.39
31/05/2024,115.2
30/04/2024,115.14
31/03/2024,115.06
29/02/2024,115.33
31/01/2024,114.14
31/12/2023,113.79
30/11/2023,113.66
31/10/2023,113.38
30/09/2023,113.28
31/08/2023,112.07
31/07/2023,111.09
30/06/2023,110.59
31/05/2023,110.3
30/04/2023,110.29
31/03/2023,110.67
28/02/2023,110.92
31/01/2023,110.42
31/12/2022,109.85
30/11/2022,109.87
31/10/2022,109.44
30/09/2022,109.29
31/08/2022,108.85
31/07/2022,108.85
30/06/2022,108.42
31/05/2022,107.68
30/04/2022,107.28
31/03/2022,107.08
28/02/2022,106.33
31/01/2022,105.28
31/12/2021,105.08
30/11/2021,105.27
31/10/2021,104.93
30/09/2021,105.14
31/08/2021,105.79
31/07/2021,105.53
30/06/2021,104.88
31/05/2021,104.68
30/04/2021,104.52
31/03/2021,104.56
28/02/2021,104.84
31/01/2021,103.27
31/12/2020,103.21
30/11/2020,103.1
31/10/2020,103.11
30/09/2020,103.02
31/08/2020,102.89
31/07/2020,103.0551581
30/06/2020,102.6391491
31/05/2020,101.9664537
30/04/2020,102.0018588
31/03/2020,103.6039359
29/02/2020,104.3474412
31/01/2020,104.5244663
31/12/2019,103.2498857
30/11/2019,101.8248337
31/10/2019,100.8511957
30/09/2019,100.2670128
31/08/2019,99.94836768
31/07/2019,99.67397879
30/06/2019,99.49695369
31/05/2019,99.58546624
30/04/2019,99.09864723
31/03/2019,98.78885332
28/02/2019,99.00128343
31/01/2019,98.21352177
31/12/2018,98.11615797
30/11/2018,98.3639931
31/10/2018,98.64723325
30/09/2018,98.31973682
31/08/2018,97.74440527
31/07/2018,97.30184254
30/06/2018,97.39035508
31/05/2018,96.79732102
30/04/2018,96.27509699
31/03/2018,96.1954357
28/02/2018,96.45212209
31/01/2018,95.75287297
31/12/2017,95.27490522
30/11/2017,95.07132636
31/10/2017,94.9474088
30/09/2017,94.55795359
31/08/2017,94.00032455
31/07/2017,93.1506041
30/06/2017,93.04438904
31/05/2017,93.20371163
30/04/2017,93.69938189
31/03/2017,93.69938189
28/02/2017,93.50465428
31/01/2017,93.28337292
31/12/2016,92.85851269
30/11/2016,92.64608258
31/10/2016,92.20351985
30/09/2016,91.44231195
31/08/2016,90.95549294
31/07/2016,90.85812914
30/06/2016,90.74306283
31/05/2016,90.32705386
30/04/2016,89.84023485
31/03/2016,89.53929219
29/02/2016,89.03477068
31/01/2016,88.66301798
31/12/2015,88.66301798
30/11/2015,88.65190106
31/10/2015,88.58519952
30/09/2015,88.49070568
31/08/2015,88.67413491
31/07/2015,88.74083644
30/06/2015,88.62410875
31/05/2015,88.31283491
30/04/2015,88.17387338
31/03/2015,88.05158723
28/02/2015,87.91818415
31/01/2015,87.96265184
31/12/2014,88.14052261
30/11/2014,88.35174414
31/10/2014,88.59075798
30/09/2014,88.49070568
31/08/2014,88.14052261
31/07/2014,87.94597646
30/06/2014,87.74587185
31/05/2014,87.4790657
30/04/2014,87.3067534
31/03/2014,87.24005186
28/02/2014,87.6235857
31/01/2014,87.14555802
31/12/2013,86.54524418
30/11/2013,86.10612573
31/10/2013,85.81708574
30/09/2013,85.39464267
31/08/2013,84.49973039
31/07/2013,83.80492271
30/06/2013,83.58258425
31/05/2013,83.53811656
30/04/2013,83.58814271
31/03/2013,83.57146733
28/02/2013,83.73266271
31/01/2013,82.63764581
31/12/2012,81.62044737
30/11/2012,81.39810892
31/10/2012,81.02013354
30/09/2012,80.33644279
31/08/2012,78.60776129
31/07/2012,78.11305822
30/06/2012,78.34095514
31/05/2012,78.54661821
30/04/2012,78.40765668
31/03/2012,78.36318899
29/02/2012,78.24090284
31/01/2012,77.18479517
31/12/2011,76.41772749
30/11/2011,76.01751827
31/10/2011,75.72291982
30/09/2011,75.45055521
31/08/2011,74.83356599
31/07/2011,74.14431677
30/06/2011,73.28831372
31/05/2011,72.4990122
30/04/2011,70.93152608
31/03/2011,68.6525569
28/02/2011,67.19624001
31/01/2011,65.81774158
31/12/2010,64.69493237
30/11/2010,63.4387201
31/10/2010,62.27700166
30/09/2010,61.63222014
31/08/2010,60.83180169
31/07/2010,60.69284016
30/06/2010,60.65948939
31/05/2010,60.52608632
30/04/2010,60.35933247
31/03/2010,60.27595555
28/02/2010,59.83127864
31/01/2010,58.68067713
31/12/2009,57.89137561
30/11/2009,57.10207409
31/10/2009,56.79080025
30/09/2009,56.57957871
31/08/2009,56.22939564
31/07/2009,56.09599257
30/06/2009,55.80695258
31/05/2009,55.5012372
30/04/2009,55.26222336
31/03/2009,55.06767721
28/02/2009,55.16217105
31/01/2009,54.52294799
31/12/2008,54.35063569
30/11/2008,54.7230526
31/10/2008,55.13993721
30/09/2008,55.24554797
31/08/2008,55.14549567
31/07/2008,54.29505107
30/06/2008,53.68917878
31/05/2008,52.56636957
30/04/2008,50.58755731
31/03/2008,49.49809887
29/02/2008,48.05845737
31/01/2008,46.40759433
31/12/2007,45.32925281
30/11/2007,44.05080669
31/10/2007,43.51163593
30/09/2007,43.19480363
31/08/2007,42.97246518
31/07/2007,42.7390098
30/06/2007,42.34435904
31/05/2007,41.98305904
30/04/2007,41.66622674
31/03/2007,41.46056367
28/02/2007,41.55505752
31/01/2007,40.67126215
31/12/2006,40.25993601
30/11/2006,40.03759755
31/10/2006,39.80970063
30/09/2006,39.6985314
31/08/2006,39.58736218
31/07/2006,39.43728372
30/06/2006,39.29276372
31/05/2006,39.14268526
30/04/2006,38.92034681
31/03/2006,38.84252835
28/02/2006,39.03151604
31/01/2006,38.21442221
31/12/2005,37.76418683
30/11/2005,37.46958838
31/10/2005,37.31950992
30/09/2005,37.16943146
31/08/2005,36.87483301
31/07/2005,36.72475455
30/06/2005,36.57467609
31/05/2005,36.42459763
30/04/2005,36.27451917
31/03/2005,36.05218072
28/02/2005,36.01882995
31/01/2005,35.12391766
31/12/2004,34.75150075
30/11/2004,34.52916229
31/10/2004,34.45134383
30/09/2004,34.45134383
31/08/2004,34.37908383
31/07/2004,34.15674538
30/06/2004,34.00666692
31/05/2004,33.71206846
30/04/2004,33.41191155
31/03/2004,33.26183309
29/02/2004,33.0005854
31/01/2004,32.03341312
31/12/2003,31.69990543
30/11/2003,31.43865775
31/10/2003,31.25522852
30/09/2003,31.28857929
31/08/2003,31.28857929
31/07/2003,31.28857929
30/06/2003,31.40530698
31/05/2003,31.47756698
30/04/2003,31.51647621
31/03/2003,31.51647621
28/02/2003,31.69990543
31/01/2003,31.03289006
