period,value
03/3/2025,25485
03/2/2025,25530
01/1/2025,25060
02/12/2024,25480
01/11/2024,25344
01/10/2024,25270
02/9/2024,24555
01/8/2024,24860
01/7/2024,25235
03/6/2024,25445
01/5/2024,25440
01/4/2024,25330
01/3/2024,24810
01/2/2024,24640
01/1/2024,24415
01/12/2023,24260
01/11/2023,24250
02/10/2023,24560
01/9/2023,24280
01/8/2023,24060
03/7/2023,23680
01/6/2023,23575
01/5/2023,23485
03/4/2023,23450
01/3/2023,23450
01/2/2023,23740
02/1/2023,23445
01/12/2022,23610
01/11/2022,24630
03/10/2022,24840
01/9/2022,23855
01/8/2022,23450
01/7/2022,23335
01/6/2022,23255
02/5/2022,23185
01/4/2022,22962
01/3/2022,22838
01/2/2022,22805
03/1/2022,22645
01/12/2021,22825
01/11/2021,22688
01/10/2021,22750
01/9/2021,22750
02/8/2021,22775
01/7/2021,22950
01/6/2021,23014
03/5/2021,23040
01/4/2021,23054
01/3/2021,23074
01/2/2021,23015
01/1/2021,23048
01/12/2020,23070
02/11/2020,23140
01/10/2020,23180
01/9/2020,23181
03/8/2020,23174
01/7/2020,23170
01/6/2020,23204
01/5/2020,23280
01/4/2020,23428
02/3/2020,23616
03/2/2020,23240
01/1/2020,23222
02/12/2019,23171
01/11/2019,23179
01/10/2019,23202
02/9/2019,23200
01/8/2019,23185
01/7/2019,23230
03/6/2019,23300
01/5/2019,23410
01/4/2019,23285
01/3/2019,23203
01/2/2019,23199
01/1/2019,23198
03/12/2018,23190
01/11/2018,23315
01/10/2018,23343
03/9/2018,23325
01/8/2018,23303
02/7/2018,23280
01/6/2018,22956
01/5/2018,22804
02/4/2018,22763
01/3/2018,22793
01/2/2018,22756
01/1/2018,22700
01/12/2017,22700
01/11/2017,22705
02/10/2017,22700
01/9/2017,22720
01/8/2017,22715
03/7/2017,22726
01/6/2017,22700
01/5/2017,22710
03/4/2017,22740
01/3/2017,22750
01/2/2017,22750
02/1/2017,22590
01/12/2016,22770
01/11/2016,22640
03/10/2016,22284
01/9/2016,22281
01/8/2016,22300
01/7/2016,22273
01/6/2016,22281
02/5/2016,22366
01/4/2016,22244
01/3/2016,22264
01/2/2016,22277
01/1/2016,22198
01/12/2015,22480
02/11/2015,22468
01/10/2015,22309
01/9/2015,22471
03/8/2015,22480
01/7/2015,21813
01/6/2015,21802
01/5/2015,21785
01/4/2015,21550
02/3/2015,21520
02/2/2015,21320
01/1/2015,21267
01/12/2014,21370
03/11/2014,21300
01/10/2014,21255
01/9/2014,21190
01/8/2014,21170
01/7/2014,21200
02/6/2014,21300
01/5/2014,21135
01/4/2014,21060
03/3/2014,21075
03/2/2014,21080
01/1/2014,21035
02/12/2013,21075
01/11/2013,21090
01/10/2013,21080
02/9/2013,21112
01/8/2013,21120
01/7/2013,21140
03/6/2013,21170
01/5/2013,20990
01/4/2013,20810
01/3/2013,20925
01/2/2013,20930
01/1/2013,20810
03/12/2012,20820
01/11/2012,20835
01/10/2012,20825
03/9/2012,20875
01/8/2012,20790
02/7/2012,20850
01/6/2012,20880
01/5/2012,20820
02/4/2012,20830
01/3/2012,20820
01/2/2012,20830
02/1/2012,21000
01/12/2011,21031
01/11/2011,21000
03/10/2011,21000
01/9/2011,20825
01/8/2011,20830
01/7/2011,20580
01/6/2011,20510
02/5/2011,20500
01/4/2011,20570
01/3/2011,20880
01/2/2011,20875
03/1/2011,19495
01/12/2010,19495
01/11/2010,19498
01/10/2010,19480
01/9/2010,19450
02/8/2010,19490
01/7/2010,19050
01/6/2010,19060
03/5/2010,18850
01/4/2010,18875
01/3/2010,19080
01/2/2010,18800
01/1/2010,18469
01/12/2009,18469
02/11/2009,18275
01/10/2009,17840
01/9/2009,17840
03/8/2009,17815
01/7/2009,17812
01/6/2009,17760
01/5/2009,17765
01/4/2009,17782
02/3/2009,17720
02/2/2009,17428
01/1/2009,17434
01/12/2008,17480
03/11/2008,16917
01/10/2008,16850
01/9/2008,16580
01/8/2008,16460
01/7/2008,16730
02/6/2008,16840
01/5/2008,16245
01/4/2008,16117
03/3/2008,16100
01/2/2008,15930
01/1/2008,15965
03/12/2007,16018
01/11/2007,16035
01/10/2007,16064
03/9/2007,16075
01/8/2007,16235
02/7/2007,16135
01/6/2007,16126
01/5/2007,16084
02/4/2007,16043
01/3/2007,16009
01/2/2007,15996
01/1/2007,16045
01/12/2006,16051
01/11/2006,16065
02/10/2006,16065
01/9/2006,16045
01/8/2006,16013
03/7/2006,16001
01/6/2006,15995
01/5/2006,15955
03/4/2006,15940
01/3/2006,15920
01/2/2006,15909
02/1/2006,15913
01/12/2005,15913
01/11/2005,15907
03/10/2005,15891
01/9/2005,15895
01/8/2005,15867
01/7/2005,15873
01/6/2005,15846
02/5/2005,15855
01/4/2005,15823
01/3/2005,15814
01/2/2005,15798
03/1/2005,15781
01/12/2004,15768
01/11/2004,15768
01/10/2004,15745
01/9/2004,15740
02/8/2004,15755
01/7/2004,15743
01/6/2004,15719
03/5/2004,15736
01/4/2004,15713
01/3/2004,15717
02/2/2004,15749
01/1/2004,15693
01/12/2003,15637
03/11/2003,15621
01/10/2003,15637
01/9/2003,15549
01/8/2003,15516
01/7/2003,15509
02/6/2003,15492
01/5/2003,15469
01/4/2003,15459
03/3/2003,15450
03/2/2003,15426
01/1/2003,15426
02/12/2002,15396
01/11/2002,15380
01/10/2002,15357
02/9/2002,15340
01/8/2002,15325
01/7/2002,15317
03/6/2002,15273
01/5/2002,15247
01/4/2002,15218
01/3/2002,15189
01/2/2002,15139
02/1/2002,15119
03/12/2001,15081
01/11/2001,15065
01/10/2001,15030
03/9/2001,15001
01/8/2001,14991
02/7/2001,14941
01/6/2001,14842
01/5/2001,14659
02/4/2001,14564
01/3/2001,14542
01/2/2001,14562
02/1/2001,14543
01/12/2000,14512
01/11/2000,14496
02/10/2000,14375
01/9/2000,14212
01/8/2000,14118
03/7/2000,14090
01/6/2000,14081
01/5/2000,14082
03/4/2000,14065
01/3/2000,14059
01/2/2000,14055
03/1/2000,14050
01/12/1999,14027
01/11/1999,14014
01/10/1999,14008
01/9/1999,13993
02/8/1999,13960
01/7/1999,13946
01/6/1999,13930
03/5/1999,13910
01/4/1999,13907
01/3/1999,13901
01/2/1999,13890
04/1/1999,13877
01/12/1998,13892
02/11/1998,13875
01/10/1998,13904
01/9/1998,13900
03/8/1998,13907
01/7/1998,12993
01/6/1998,12983
01/5/1998,12982
01/4/1998,12982
02/3/1998,12974
02/2/1998,12968
02/1/1998,12288
01/12/1997,12291
03/11/1997,12286
01/10/1997,12240
01/9/1997,11715
01/8/1997,11694
01/7/1997,11680
02/6/1997,11663
01/5/1997,11655
01/4/1997,11652
03/3/1997,11645
03/2/1997,11201
02/1/1997,11177
02/12/1996,11146
01/11/1996,11089
01/10/1996,11060
02/9/1996,11029
01/8/1996,11017
01/7/1996,11018
03/6/1996,11012
01/5/1996,11009
01/4/1996,11010
01/3/1996,11010
01/2/1996,11010
02/1/1996,11010
01/12/1995,11010
01/11/1995,11009
02/10/1995,11004
01/9/1995,11015
01/8/1995,11025
03/7/1995,11030
01/6/1995,11040
01/5/1995,11045
03/4/1995,11041
01/3/1995,11045
01/2/1995,11050
02/1/1995,11039
01/12/1994,11042
01/11/1994,11032
03/10/1994,11002
01/9/1994,10994
01/8/1994,10988
